location,date,peak_demand,min_demand,avg_demand,avg_temp,avg_wind,avg_solar
"Minneapolis, Minnesota, USA",2017-10-24,39971.8005,26748.4085,34142.954516666665,6.993166416666667,23.701432125,128.08333333333334
"Minneapolis, Minnesota, USA",2017-10-25,40522.5835,26589.2295,34107.33679166667,6.966083216666667,9.976337616666667,139.45833333333334
"Minneapolis, Minnesota, USA",2017-10-26,40641.0845,26338.0495,33913.585791666665,8.426499875,15.918728083333335,50.25
"Minneapolis, Minnesota, USA",2017-10-27,39447.7845,26747.4665,33235.479666666666,2.0452500066666666,24.686031291666666,25.208333333333332
"Minneapolis, Minnesota, USA",2017-10-28,31919.6325,26097.8045,29238.025458333334,0.6014999991666666,13.821636487500001,78.75
"Minneapolis, Minnesota, USA",2017-10-29,30658.9995,25881.5895,28544.510958333336,0.7869166729166667,10.769318716666668,47.375
"Minneapolis, Minnesota, USA",2017-10-30,40260.2475,26096.2705,33638.19383333333,2.8598333541666663,19.379354916666667,88.20833333333333
"Minneapolis, Minnesota, USA",2017-10-31,40379.8365,26725.3525,33849.71620833333,-1.1151666558333333,13.770863729166665,77.625
"Minneapolis, Minnesota, USA",2017-11-01,40054.4295,26730.2295,33917.09891666667,-0.5797499870833334,13.090880320833334,38.375
"Minneapolis, Minnesota, USA",2017-11-02,40075.6785,26679.0255,33939.01358333333,2.384833340833333,8.914230775,62.75
"Minneapolis, Minnesota, USA",2017-11-03,39401.7485,26892.8685,33311.18983333333,-0.03183332916666669,8.791747425,44.916666666666664
"Minneapolis, Minnesota, USA",2017-11-04,32286.0135,26226.1865,29522.52354166667,1.9952500020833333,11.846116041666667,26.041666666666668
"Minneapolis, Minnesota, USA",2017-11-05,46100.7715,25941.9645,29600.390291666667,2.34733333875,13.177351179166665,61.041666666666664
"Minneapolis, Minnesota, USA",2017-11-06,39917.8695,26492.1455,33548.39241666667,-2.1901666516666665,8.285019779166666,93.875
"Minneapolis, Minnesota, USA",2017-11-07,39897.0788,26452.7765,33657.1839375,-1.7547499825,7.1129138958333336,108.625
"Minneapolis, Minnesota, USA",2017-11-08,39960.8772,26664.3562,33950.7936875,-1.0297499666666667,10.033432825,105.25
"Minneapolis, Minnesota, USA",2017-11-09,40212.3099,26862.558800000003,34079.428804166666,-4.331833366666667,16.550645495833333,116.29166666666667
"Minneapolis, Minnesota, USA",2017-11-10,40120.7673,26966.2437,33768.74061666667,-8.565166870833332,11.6814804375,74.625
"Minneapolis, Minnesota, USA",2017-11-11,31960.5055,26712.021,29368.310545833334,-0.4360000020833334,13.329422395833333,89.20833333333333
"Minneapolis, Minnesota, USA",2017-11-12,31168.2686,26454.8148,29055.5768,-1.2672499766666667,8.701082825,89.75
"Minneapolis, Minnesota, USA",2017-11-13,40145.744,26370.1592,33714.6225,-0.63183332,10.115895441666668,61.083333333333336
"Minneapolis, Minnesota, USA",2017-11-14,40808.6608,26679.2012,34173.983775,4.7015000124999995,12.249423270833333,37.958333333333336
"Minneapolis, Minnesota, USA",2017-11-15,40688.1494,26830.7344,34313.30885,3.2244166666666665,16.355650404166667,36.666666666666664
"Minneapolis, Minnesota, USA",2017-11-16,40739.7944,26751.6323,34360.85809583333,-1.1943333225000001,12.301069608333334,81.41666666666667
"Minneapolis, Minnesota, USA",2017-11-17,40378.1861,26056.0244,33652.998204166666,2.0410833299999998,14.6434371,15.75
"Minneapolis, Minnesota, USA",2017-11-18,32384.2147,26510.6048,29695.583379166666,-0.27558333041666666,13.738876499999998,95.0
"Minneapolis, Minnesota, USA",2017-11-19,31493.4594,26368.5494,29068.771120833335,-3.6985000291666665,12.243320845833333,94.54166666666667
"Minneapolis, Minnesota, USA",2017-11-20,39938.7558,26433.0285,33728.764358333334,1.45774997125,10.809401733333333,67.54166666666667
"Minneapolis, Minnesota, USA",2017-11-21,39961.5991,26778.8532,33814.55800833333,-0.35266665,21.233341916666667,89.58333333333333
"Minneapolis, Minnesota, USA",2017-11-22,38779.8388,26942.2056,32795.133929166666,-6.2276667875,10.347817825,49.25
"Minneapolis, Minnesota, USA",2017-11-23,29760.5807,26347.83,28384.990354166668,-0.7151666620833333,7.799232725,90.83333333333333
"Minneapolis, Minnesota, USA",2017-11-24,31120.0017,26261.896,28740.555979166664,7.049416379166666,14.582575604166665,62.625
"Minneapolis, Minnesota, USA",2017-11-25,30672.6249,26065.55,28329.813112499996,1.9598333379166666,13.831698770833334,92.66666666666667
"Minneapolis, Minnesota, USA",2017-11-26,30195.6101,26153.1058,28305.798437499998,0.2598333,9.577998833333334,83.0
"Minneapolis, Minnesota, USA",2017-11-27,39989.439,26163.5726,33249.571991666664,3.9577499208333333,12.994543420833333,71.33333333333333
"Minneapolis, Minnesota, USA",2017-11-28,39608.5853,25627.7074,33296.41966666667,7.853583125,15.734066520833332,78.08333333333333
"Minneapolis, Minnesota, USA",2017-11-29,40159.8306,26693.2876,33971.11222083333,0.5035833458333333,12.692239550000002,88.125
"Minneapolis, Minnesota, USA",2017-11-30,40280.769,26894.1984,33888.4278875,4.443166679166667,17.803544875,86.625
